Date,SP500Ex7
7/5/2018,1675.57
7/6/2018,1688.07
7/9/2018,1702.16
7/10/2018,1709.04
7/11/2018,1695.71
7/12/2018,1706.51
7/13/2018,1706.99
7/16/2018,1705.5
7/17/2018,1710.26
7/18/2018,1716.02
7/19/2018,1709.64
7/20/2018,1706.39
7/23/2018,1708.36
7/24/2018,1713.74
7/25/2018,1726.75
7/26/2018,1731.42
7/27/2018,1722.24
7/30/2018,1716.01
7/31/2018,1725.19
8/1/2018,1717.41
8/2/2018,1721.3
8/3/2018,1730.45
8/6/2018,1734.65
8/7/2018,1739.64
8/8/2018,1737.22
8/9/2018,1733.36
8/10/2018,1721.31
8/13/2018,1712.8
8/14/2018,1722.92
8/15/2018,1711.38
8/16/2018,1727.68
8/17/2018,1734.14
8/20/2018,1740.51
8/21/2018,1745.3
8/22/2018,1742.05
8/23/2018,1738.09
8/24/2018,1748.61
8/27/2018,1760.51
8/28/2018,1760.6
8/29/2018,1766.72
8/30/2018,1756.57
8/31/2018,1756.52
9/4/2018,1754.06
9/5/2018,1754.13
9/6/2018,1751.18
9/7/2018,1748.14
9/10/2018,1752.72
9/11/2018,1754.36
9/12/2018,1757.77
9/13/2018,1765.21
9/14/2018,1766.96
9/17/2018,1762.05
9/18/2018,1771.22
9/19/2018,1774.25
9/20/2018,1787.12
9/21/2018,1789.71
9/24/2018,1779.03
9/25/2018,1773.73
9/26/2018,1767.52
9/27/2018,1768.8
9/28/2018,1769.09
10/1/2018,1775.22
10/2/2018,1775.75
10/3/2018,1775.96
10/4/2018,1766.26
10/5/2018,1758.54
10/8/2018,1760.41
10/9/2018,1755.5
10/10/2018,1704.28
10/11/2018,1665.08
10/12/2018,1683.09
10/15/2018,1676.94
10/16/2018,1710.46
10/17/2018,1710.41
10/18/2018,1689.32
10/19/2018,1687.74
10/22/2018,1676.5
10/23/2018,1666.83
10/24/2018,1621.68
10/25/2018,1643.79
10/26/2018,1619.74
10/29/2018,1618.36
10/30/2018,1645.79
10/31/2018,1656.64
11/1/2018,1674.23
11/2/2018,1668.46
11/5/2018,1683.68
11/6/2018,1693.6
11/7/2018,1724.37
11/8/2018,1721.78
11/9/2018,1709.05
11/12/2018,1680.76
11/13/2018,1678.22
11/14/2018,1667.14
11/15/2018,1682.69
11/16/2018,1689.54
11/19/2018,1669.61
11/20/2018,1639.53
11/21/2018,1642.86
11/23/2018,1633.89
11/26/2018,1654.92
11/27/2018,1661.41
11/28/2018,1694.67
11/29/2018,1691.22
11/30/2018,1705.56
12/3/2018,1720.4
12/4/2018,1668.25
12/6/2018,1663.22
12/7/2018,1628.07
12/10/2018,1627.36
12/11/2018,1625.93
12/12/2018,1633.91
12/13/2018,1632.68
12/14/2018,1604.12
12/17/2018,1572.39
12/18/2018,1568.24
12/19/2018,1546.95
12/20/2018,1523.31
12/21/2018,1497.6
12/24/2018,1456.03
12/26/2018,1522.15
12/27/2018,1537.59
12/28/2018,1535.75
12/31/2018,1549.39
1/2/2019,1548.98
1/3/2019,1516.65
1/4/2019,1565.11
1/7/2019,1575.83
1/8/2019,1590.04
1/9/2019,1595.26
1/10/2019,1604.17
1/11/2019,1606.19
1/14/2019,1598.75
1/15/2019,1611.17
1/16/2019,1614.24
1/17/2019,1626.68
1/18/2019,1649.32
1/22/2019,1629.28
1/23/2019,1632.65
1/24/2019,1634.86
1/25/2019,1646.29
1/28/2019,1636.83
1/29/2019,1639.19
1/30/2019,1656.78
1/31/2019,1667.49
2/1/2019,1674.1
2/4/2019,1681.2
2/5/2019,1686.42
2/6/2019,1684.98
2/7/2019,1671.15
2/8/2019,1673.3
2/11/2019,1675.68
2/12/2019,1696.27
2/13/2019,1702.67
2/14/2019,1697.56
2/15/2019,1719.66
2/19/2019,1721.59
2/20/2019,1725.75
2/21/2019,1719.12
2/22/2019,1728.59
2/25/2019,1729.59
2/26/2019,1727.23
2/27/2019,1726.19
2/28/2019,1721.41
3/1/2019,1731.77
3/4/2019,1721.45
3/5/2019,1718.21
3/6/2019,1706.37
3/7/2019,1694.84
3/8/2019,1690.4
3/11/2019,1711.26
3/12/2019,1714.86
3/13/2019,1726.75
3/14/2019,1725.5
3/15/2019,1733.65
3/18/2019,1739.58
3/19/2019,1737.79
3/20/2019,1727.86
3/21/2019,1743.75
3/22/2019,1712.17
3/25/2019,1711.01
3/26/2019,1725.84
3/27/2019,1718.1
3/28/2019,1725.24
3/29/2019,1736.99
4/1/2019,1756.7
4/2/2019,1754.02
4/3/2019,1756.77
4/4/2019,1760.5
4/5/2019,1769.02
4/8/2019,1769.82
4/9/2019,1758.13
4/10/2019,1763.52
4/11/2019,1764.22
4/12/2019,1776.8
4/15/2019,1775.18
4/16/2019,1775.45
4/17/2019,1768.01
4/18/2019,1770.21
4/22/2019,1769.48
4/23/2019,1783.11
4/24/2019,1780.37
4/25/2019,1775.15
4/26/2019,1783.6
4/29/2019,1784.63
4/30/2019,1793.47
5/1/2019,1777.24
5/2/2019,1775.05
5/3/2019,1788.64
5/6/2019,1781.57
5/7/2019,1753.39
5/8/2019,1750.55
5/9/2019,1746.29
5/10/2019,1754.8
5/13/2019,1717.32
5/14/2019,1731.6
5/15/2019,1737.38
5/16/2019,1751.94
5/17/2019,1743.53
5/20/2019,1735.45
5/21/2019,1750.06
5/22/2019,1745.05
5/23/2019,1725.86
5/24/2019,1729.03
5/28/2019,1711.06
5/29/2019,1700.34
5/30/2019,1703.62
5/31/2019,1683.1
6/3/2019,1690.23
6/4/2019,1724.92
6/5/2019,1738.81
6/6/2019,1748.16
6/7/2019,1761.5
6/10/2019,1766.22
6/11/2019,1764.13
6/12/2019,1761.77
6/13/2019,1768.03
6/14/2019,1764.74
6/17/2019,1763.38
6/18/2019,1779.02
6/19/2019,1785.2
6/20/2019,1802.6
6/21/2019,1799.58
6/24/2019,1795.35
6/25/2019,1782.79
6/26/2019,1777.7
6/27/2019,1785.04
6/28/2019,1797.41
7/1/2019,1809.23
7/2/2019,1813.15
7/3/2019,1827.29
7/5/2019,1823.33
7/8/2019,1815.27
7/9/2019,1815.36
7/10/2019,1820.64
7/11/2019,1826.2
7/12/2019,1834.1
7/15/2019,1833.33
7/16/2019,1827.63
7/17/2019,1815.66
7/18/2019,1823.13
7/19/2019,1812.66
7/22/2019,1813.63
7/23/2019,1826.28
7/24/2019,1835.19
7/25/2019,1826.97
7/26/2019,1837.24
7/29/2019,1835.46
7/30/2019,1831.58
7/31/2019,1811.43
8/1/2019,1793.81
8/2/2019,1783.58
8/5/2019,1733.74
8/6/2019,1755.2
8/7/2019,1754.99
8/8/2019,1785.89
8/9/2019,1775.99
8/12/2019,1754.33
8/13/2019,1776.65
8/14/2019,1725.93
8/15/2019,1730.38
8/16/2019,1754.83
8/19/2019,1774.17
8/20/2019,1760.17
8/21/2019,1774.29
8/22/2019,1774.96
8/23/2019,1731.96
8/26/2019,1749.5
8/27/2019,1743.78
8/28/2019,1756.71
8/29/2019,1777.26
8/30/2019,1779.45
9/3/2019,1768.61
9/4/2019,1786.79
9/5/2019,1806.98
9/6/2019,1810.95
9/9/2019,1811.22
9/10/2019,1812.64
9/11/2019,1824.25
9/12/2019,1828.49
9/13/2019,1828.75
9/16/2019,1824
9/17/2019,1827.74
9/18/2019,1827.02
9/19/2019,1825.31
